"Code","Year","Population.with.access.to.improved.sanitation","Population.without.access.to.improved.sanitation","Access.to.electricity....of.population.","Entity"
"ETH",2008,15888314,67296578,21.7634429931641,"Ethiopia"
"ETH",2009,17424916,67991337,23.3894119262695,"Ethiopia"
"ETH",2010,19031479,68671191,25.0334053039551,"Ethiopia"
"ETH",2011,20710754,69336002,23,"Ethiopia"
"ETH",2012,22463936,69980247,28.3634471893311,"Ethiopia"
"ETH",2013,24196370,70691354,30.0434875488281,"Ethiopia"
"ETH",2014,26094295,71272479,27.2,"Ethiopia"
"ETH",2015,27964449,71908584,33.4185905456543,"Ethiopia"
"ETH",2016,NA,NA,42.9,"Ethiopia"
"GHA",1995,1441400,15319067,34.2583389282227,"Ghana"
"GHA",1996,1546705,15638903,36.3781776428223,"Ghana"
"GHA",1997,1637620,15971192,38.482723236084,"Ghana"
"GHA",1998,1731503,16304991,42.6,"Ghana"
"GHA",1999,1847761,16629851,42.6336860656738,"Ghana"
"GHA",2000,1950692,16988070,44.6755104064941,"Ghana"
"GHA",2001,2058690,17362915,46.6989250183105,"Ghana"
"GHA",2002,2191697,17732825,48.7099914550781,"Ghana"
"GHA",2003,2310486,18136296,48.3,"Ghana"
"GHA",2004,2434438,18552098,52.7193374633789,"Ghana"
"GHA",2005,2585041,18956968,54.7297439575195,"Ghana"
"GHA",2006,2719951,19393474,55.0934500757703,"Ghana"
"GHA",2007,2860227,19839985,58.7923316955566,"Ghana"
"GHA",2008,3028823,20269817,60.5,"Ghana"
"GHA",2009,3179210,20724621,62.9389572143555,"Ghana"
"GHA",2010,3358158,21153946,65.0408096313477,"Ghana"
"GHA",2011,3517051,21604745,64.06256,"Ghana"
"GHA",2012,3705559,22027490,69.2865600585938,"Ghana"
"GHA",2013,3872899,22473352,70.7,"Ghana"
"GHA",2014,3990459,22972104,78.3,"Ghana"
"GHA",2015,4109840,23472981,75.7152786254883,"Ghana"
"GHA",2016,NA,NA,79.3,"Ghana"
"GIN",1995,834344,7036829,11.6221561431885,"Guinea"
"GIN",1996,894581,7237971,12.6361989974976,"Guinea"
"GIN",1997,958869,7379119,13.6349468231201,"Guinea"
"GIN",1998,1011892,7491405,14.6153392791748,"Guinea"
"GIN",1999,1073067,7580702,16.4,"Guinea"
"GIN",2000,1136302,7672244,16.5103454589844,"Guinea"
"GIN",2001,1202133,7769006,17.4279613494873,"Guinea"
"GIN",2002,1260954,7876391,18.33323097229,"Guinea"
"GIN",2003,1331308,7978540,19.2322177886963,"Guinea"
"GIN",2004,1404554,8085675,20.1309833526611,"Guinea"
"GIN",2005,1481001,8198744,20.2,"Guinea"
"GIN",2006,1561266,8320162,21.9521045684814,"Guinea"
"GIN",2007,1645767,8450960,22.8865871429443,"Guinea"
"GIN",2008,1734288,8588854,23.8435878753662,"Guinea"
"GIN",2009,1826279,8730245,24.8216171264648,"Guinea"
"GIN",2010,1932156,8862014,25.8176708221436,"Guinea"
"GIN",2011,2030471,9004699,26.828742980957,"Guinea"
"GIN",2012,2132198,9149271,26.2,"Guinea"
"GIN",2013,2238103,9298512,28.8839321136475,"Guinea"
"GIN",2014,2361102,9444407,29.9220409393311,"Guinea"
"GIN",2015,2430398,9661135,30.9631519317627,"Guinea"
"GIN",2016,NA,NA,33.5,"Guinea"
"GMB",1995,642932,423291,22.569486618042,"Gambia"
"GMB",1996,661315,435393,23.8123397827148,"Gambia"
"GMB",1997,678030,450139,25.0398960113525,"Gambia"
"GMB",1998,696566,464378,26.2490978240967,"Gambia"
"GMB",1999,714861,480559,27.4368858337402,"Gambia"
"GMB",2000,735411,496433,34.3,"Gambia"
"GMB",2001,757215,513280,29.7481460571289,"Gambia"
"GMB",2002,780253,531096,30.8822250366211,"Gambia"
"GMB",2003,804391,549803,32.0100212097168,"Gambia"
"GMB",2004,829354,569219,33.1375961303711,"Gambia"
"GMB",2005,854969,589235,30.4562675012354,"Gambia"
"GMB",2006,881193,609828,35.4163360595703,"Gambia"
"GMB",2007,908078,631038,36.5796241760254,"Gambia"
"GMB",2008,935669,652903,37.765438079834,"Gambia"
"GMB",2009,965701,673859,38.9722747802734,"Gambia"
"GMB",2010,994984,697165,40.197135925293,"Gambia"
"GMB",2011,1026861,719502,41.4370193481445,"Gambia"
"GMB",2012,1057847,744278,42.6889152526856,"Gambia"
"GMB",2013,1093283,766041,44.5,"Gambia"
"GMB",2014,1127697,790155,45.2167434692383,"Gambia"
"GMB",2015,1164801,812789,46.4866638183594,"Gambia"
"GMB",2016,NA,NA,47.7570877075195,"Gambia"
"IRN",1995,44704825,15870819,96.809928894043,"Iran"
"IRN",1996,46064151,15518938,97.0314331054688,"Iran"
"IRN",1997,47597313,15113244,97.2376480102539,"Iran"
"IRN",1998,49139584,14761046,97.4255142211914,"Iran"
"IRN",1999,50683812,14378848,97.5919570922852,"Iran"
"IRN",2000,52178033,13953821,97.9,"Iran"
"IRN",2001,53610035,13486379,97.8605346679688,"Iran"
"IRN",2002,54930531,13052799,97.973274230957,"Iran"
"IRN",2003,56288799,12523914,98.0795593261719,"Iran"
"IRN",2004,57642959,11974141,98.1903381347656,"Iran"
"IRN",2005,59013478,11408333,98.3069381713867,"Iran"
"IRN",2006,60401242,10826638,98.4,"Iran"
"IRN",2007,61730655,10300448,98.5798568725586,"Iran"
"IRN",2008,63157085,9688457,98.7438735961914,"Iran"
"IRN",2009,64550307,9137258,98.9274291992187,"Iran"
"IRN",2010,66066815,8500696,99.1287078857422,"Iran"
"IRN",2011,67413983,8077599,99.3441925048828,"Iran"
"IRN",2012,68502402,7951172,99.5637664794922,"Iran"
"IRN",2013,69614410,7820974,99.7617797851563,"Iran"
"IRN",2014,70491572,7919520,100,"Iran"
"IRN",2015,71424438,7936049,99.9750518798828,"Iran"
"IRN",2016,NA,NA,100,"Iran"
"IRQ",1995,14448997,5759390,95.0749282836914,"Iraq"
"IRQ",1996,15050735,5795158,95.3692932128906,"Iraq"
"IRQ",1997,15701782,5807509,95.6483688354492,"Iraq"
"IRQ",1998,16354214,5836036,95.9090881347656,"Iraq"
"IRQ",1999,17044226,5833930,96.1483917236328,"Iraq"
"IRQ",2000,17744756,5820657,96.36474609375,"Iraq"
"IRQ",2001,18479757,5771892,96.5626907348633,"Iraq"
"IRQ",2002,19178321,5760978,96.7482833862305,"Iraq"
"IRQ",2003,19912665,5714961,96.9275970458984,"Iraq"
"IRQ",2004,20658538,5658071,97.106689453125,"Iraq"
"IRQ",2005,21417682,5590744,97.291618347168,"Iraq"
"IRQ",2006,22186028,5511884,97.6221115649303,"Iraq"
"IRQ",2007,22967860,5422573,98.1,"Iraq"
"IRQ",2008,23784028,5327389,97.9405975341797,"Iraq"
"IRQ",2009,24663088,5231564,98.2124557495117,"Iraq"
"IRQ",2010,25625330,5137371,98.4866027832031,"Iraq"
"IRQ",2011,26650725,5076328,98,"Iraq"
"IRQ",2012,27794532,4982039,99.3,"Iraq"
"IRQ",2013,29003972,4879173,99.3796005249023,"Iraq"
"IRQ",2014,29965204,5040876,99.6554107666016,"Iraq"
"IRQ",2015,30914996,5200653,99.8621826171875,"Iraq"
"IRQ",2016,NA,NA,100,"Iraq"
"ISR",1995,5545000,0,100,"Israel"
"ISR",1996,5692000,0,100,"Israel"
"ISR",1997,5836000,0,100,"Israel"
"ISR",1998,5971000,0,100,"Israel"
"ISR",1999,6125000,0,100,"Israel"
"ISR",2000,6289000,0,100,"Israel"
"ISR",2001,6439000,0,100,"Israel"
"ISR",2002,6570000,0,100,"Israel"
"ISR",2003,6689700,0,100,"Israel"
"ISR",2004,6809000,0,100,"Israel"
"ISR",2005,6930100,0,100,"Israel"
"ISR",2006,7053700,0,100,"Israel"
"ISR",2007,7180100,0,100,"Israel"
"ISR",2008,7308800,0,100,"Israel"
"ISR",2009,7485600,0,100,"Israel"
"ISR",2010,7623600,0,100,"Israel"
"ISR",2011,7765800,0,100,"Israel"
"ISR",2012,7910500,0,100,"Israel"
"ISR",2013,8059500,0,100,"Israel"
"ISR",2014,8215700,0,100,"Israel"
"ISR",2015,8380100,0,100,"Israel"
"ISR",2016,NA,NA,100,"Israel"
"KEN",1995,7028039,20318417,9.76826190948486,"Kenya"
"KEN",1996,7318411,20829323,11.0336608886719,"Kenya"
"KEN",1997,7585978,21368136,12.2837648391724,"Kenya"
"KEN",1998,7859228,21910575,14.5,"Kenya"
"KEN",1999,8170306,22430091,14.7258501052856,"Kenya"
"KEN",2000,8460180,22990303,15.9132328033447,"Kenya"
"KEN",2001,8759122,23562360,17.0822067260742,"Kenya"
"KEN",2002,9100638,24113371,18.2388324737549,"Kenya"
"KEN",2003,9420115,24710737,16,"Kenya"
"KEN",2004,9750831,25324100,20.5392971038818,"Kenya"
"KEN",2005,10093521,25954767,21.6952629089355,"Kenya"
"KEN",2006,10485730,26566320,22.8631324768066,"Kenya"
"KEN",2007,10854484,27231425,24.0489711761475,"Kenya"
"KEN",2008,11235595,27912821,25.2573299407959,"Kenya"
"KEN",2009,11668789,28568415,23,"Kenya"
"KEN",2010,12074244,29275908,19.2,"Kenya"
"KEN",2011,12491131,29995708,28.9965534210205,"Kenya"
"KEN",2012,12919402,30727227,30.2709999084473,"Kenya"
"KEN",2013,13403228,31423621,31.5544567108154,"Kenya"
"KEN",2014,13853299,32170951,36,"Kenya"
"KEN",2015,14218114,33018145,41.6,"Kenya"
"KEN",2016,NA,NA,56,"Kenya"
"LBN",1995,NA,NA,98.7743072509766,"Lebanon"
"LBN",1996,NA,NA,98.9223937988281,"Lebanon"
"LBN",1997,NA,NA,99.0552062988281,"Lebanon"
"LBN",1998,2575237,538714,99.1699523925781,"Lebanon"
"LBN",1999,2610546,546100,99.2647857666015,"Lebanon"
"LBN",2000,2675648,559718,99.3398971557617,"Lebanon"
"LBN",2001,2778603,581256,99.3980941772461,"Lebanon"
"LBN",2002,2913386,609451,99.4442291259766,"Lebanon"
"LBN",2003,3050006,651458,99.4841003417969,"Lebanon"
"LBN",2004,3175605,687662,99.9,"Lebanon"
"LBN",2005,3269219,717633,99.569221496582,"Lebanon"
"LBN",2006,3318912,738438,99.3838170909681,"Lebanon"
"LBN",2007,3334556,751910,99.9,"Lebanon"
"LBN",2008,3342281,768766,99.9,"Lebanon"
"LBN",2009,3392540,790616,99.878303527832,"Lebanon"
"LBN",2010,3508747,828394,99.9488067626953,"Lebanon"
"LBN",2011,3702813,885555,99.6840109542869,"Lebanon"
"LBN",2012,3967538,948866,99.9983062744141,"Lebanon"
"LBN",2013,4257814,1018288,100,"Lebanon"
"LBN",2014,4521846,1081433,100,"Lebanon"
"LBN",2015,4722144,1129335,100,"Lebanon"
"LBN",2016,NA,NA,100,"Lebanon"
"LBY",1995,4775590,173208,99.8607635498047,"Libya"
"LBY",1996,4859628,176256,99.8411636352539,"Libya"
"LBY",1997,4938165,179104,99.8062591552734,"Libya"
"LBY",1998,5013659,181843,99.7529983520508,"Libya"
"LBY",1999,5089567,184596,99.6783294677734,"Libya"
"LBY",2000,5168300,187451,99.8,"Libya"
"LBY",2001,5250146,190420,99.4646759033203,"Libya"
"LBY",2002,5334052,193463,99.336296081543,"Libya"
"LBY",2003,5419394,196558,99.2016296386719,"Libya"
"LBY",2004,5505092,199667,99.0667419433594,"Libya"
"LBY",2005,5589944,202744,98.9377059936523,"Libya"
"LBY",2006,5675585,205850,98.8205642700195,"Libya"
"LBY",2007,5761399,208963,98.7213973999024,"Libya"
"LBY",2008,5847273,205805,98.6447525024414,"Libya"
"LBY",2009,5912937,208116,98.5891265869141,"Libya"
"LBY",2010,5959389,209751,98.5515365600586,"Libya"
"LBY",2011,5982922,210579,98.5289535522461,"Libya"
"LBY",2012,5987517,210741,98.5183944702148,"Libya"
"LBY",2013,5985307,210663,98.516845703125,"Libya"
"LBY",2014,5993168,210940,98.5213012695313,"Libya"
"LBY",2015,6022967,211988,98.5287628173828,"Libya"
"LBY",2016,NA,NA,98.5367279052735,"Libya"
"MAR",1995,15920236,11154996,56.5,"Morocco"
"MAR",1996,16421441,11039162,61.3154487609863,"Morocco"
"MAR",1997,16945974,10879927,63.4795417785645,"Morocco"
"MAR",1998,17440488,10734775,65.6252746582031,"Morocco"
"MAR",1999,17935808,10578990,67.7495956420898,"Morocco"
"MAR",2000,18463757,10385864,69.8509674072266,"Morocco"
"MAR",2001,18968191,10213641,71.9339218139649,"Morocco"
"MAR",2002,19478163,10034205,74.0045394897461,"Morocco"
"MAR",2003,19965594,9878343,76.0688629150391,"Morocco"
"MAR",2004,20491735,9687550,78.2,"Morocco"
"MAR",2005,21029017,9492053,80.2029266357422,"Morocco"
"MAR",2006,21577673,9291673,96.5,"Morocco"
"MAR",2007,22139150,9086731,84.3846054077148,"Morocco"
"MAR",2008,22718139,8878716,86.506950378418,"Morocco"
"MAR",2009,23320635,8669262,88.6503219604492,"Morocco"
"MAR",2010,23918314,8491325,90.8117141723633,"Morocco"
"MAR",2011,24545541,8313282,92.9881286621094,"Morocco"
"MAR",2012,25200344,8133445,95.1765670776367,"Morocco"
"MAR",2013,25875948,7948821,97.3740081787109,"Morocco"
"MAR",2014,26287651,8030431,91.6,"Morocco"
"MAR",2015,26694148,8109174,99.5860137939453,"Morocco"
"MAR",2016,NA,NA,100,"Morocco"
"MDG",1995,1334065,12141335,11.7507095336914,"Madagascar"
"MDG",1996,1390269,12512419,12.1619205474854,"Madagascar"
"MDG",1997,1434785,12913069,10.9,"Madagascar"
"MDG",1998,1495688,13313103,12.935396194458,"Madagascar"
"MDG",1999,1558817,13723704,13.291543006897,"Madagascar"
"MDG",2000,1623981,14142825,13.6247367858887,"Madagascar"
"MDG",2001,1691137,14569795,14.8,"Madagascar"
"MDG",2002,1760337,15004780,14.2419586181641,"Madagascar"
"MDG",2003,1831589,15447552,20.3,"Madagascar"
"MDG",2004,1887118,15915879,14.8340463638306,"Madagascar"
"MDG",2005,1980366,16356358,15.1358213424683,"Madagascar"
"MDG",2006,2057949,16822319,15.4495029449463,"Madagascar"
"MDG",2007,2137688,17295835,15.7811517715454,"Madagascar"
"MDG",2008,2219608,17776861,16.1353225708008,"Madagascar"
"MDG",2009,2303742,18265379,17.4,"Madagascar"
"MDG",2010,2411287,18740353,16.9037399291992,"Madagascar"
"MDG",2011,2500554,19243395,14.3,"Madagascar"
"MDG",2012,2592202,19754371,17.7322368621826,"Madagascar"
"MDG",2013,2686454,20274692,12.9,"Madagascar"
"MDG",2014,2807186,20782615,18.5967807769775,"Madagascar"
"MDG",2015,2908091,21325997,19.0350608825684,"Madagascar"
"MDG",2016,NA,NA,22.9,"Madagascar"
"MLI",1995,1536712,8067738,2.4924738407135,"Mali"
"MLI",1996,1606660,8250150,6.2,"Mali"
"MLI",1997,1689054,8425040,5.66663694381714,"Mali"
"MLI",1998,1775123,8605712,7.22771644592285,"Mali"
"MLI",1999,1866152,8797571,8.76738166809082,"Mali"
"MLI",2000,1974184,8993506,10.2840948104858,"Mali"
"MLI",2001,2077959,9215299,10.8,"Mali"
"MLI",2002,2199758,9439171,13.2683544158936,"Mali"
"MLI",2003,2316990,9688138,14.7480278015137,"Mali"
"MLI",2004,2441205,9950701,16.2274799346924,"Mali"
"MLI",2005,2585350,10213413,17.7127742767334,"Mali"
"MLI",2006,2724775,10502289,16.6,"Mali"
"MLI",2007,2885553,10790053,20.7251415252686,"Mali"
"MLI",2008,3039716,11098500,22.2628307342529,"Mali"
